API,FILES
Java Reflection,myjava/awt/datatransfer/DataFlavor.java  javax/activation/ActivationDataFlavor.java  javax/activation/MailcapCommandMap.java  javax/mail/Session.java  com/sun/mail/pop3/POP3Store.java  com/sun/mail/util/SocketFetcher.java  com/sun/mail/imap/protocol/IMAPProtocol.java
"URL Connection supports file,http,https,ftp and jar",javax/activation/SecuritySupport.java  javax/activation/MimetypesFileTypeMap.java  javax/activation/MailcapCommandMap.java  javax/activation/URLDataSource.java  javax/mail/Session.java  com/plexus/as_cancelas/TareaCargarImagenInicio.java  com/plexus/as_cancelas/TareaDescargarImagenInicio.java  com/plexus/as_cancelas/TareaDascargaImagenesListaNoticias.java  com/plexus/as_cancelas/TareacargarPromo.java  com/plexus/as_cancelas/TareaEncuesta.java  com/plexus/as_cancelas/TareaDescargaImagenesPromo.java  com/plexus/as_cancelas/TareaCargarLPromo.java  com/plexus/as_cancelas/TareaDescargarImagenNoticia.java  com/plexus/as_cancelas/TareaIdEncuesta.java  com/plexus/as_cancelas/TareaTarjetaPremium.java  com/plexus/as_cancelas/TareaDescargaImagenes.java  com/plexus/as_cancelas/TareaDescargaImagennoticiaInicio.java  com/plexus/as_cancelas/TareaCargarCalendario.java  com/plexus/as_cancelas/TareaCargarListaAlfab.java  com/plexus/as_cancelas/TareaCargarListaCategorias.java
URL Connection to file/http/https/ftp/jar,javax/activation/URLDataSource.java  com/plexus/as_cancelas/TareaCargarImagenInicio.java  com/plexus/as_cancelas/TareaDescargarImagenInicio.java  com/plexus/as_cancelas/TareaDascargaImagenesListaNoticias.java  com/plexus/as_cancelas/TareacargarPromo.java  com/plexus/as_cancelas/TareaEncuesta.java  com/plexus/as_cancelas/TareaDescargaImagenesPromo.java  com/plexus/as_cancelas/TareaCargarLPromo.java  com/plexus/as_cancelas/TareaDescargarImagenNoticia.java  com/plexus/as_cancelas/TareaIdEncuesta.java  com/plexus/as_cancelas/TareaTarjetaPremium.java  com/plexus/as_cancelas/TareaDescargaImagenes.java  com/plexus/as_cancelas/TareaDescargaImagennoticiaInicio.java  com/plexus/as_cancelas/TareaCargarCalendario.java  com/plexus/as_cancelas/TareaCargarListaAlfab.java  com/plexus/as_cancelas/TareaCargarListaCategorias.java
Starting Activity,com/plexus/as_cancelas/Parking.java  com/plexus/as_cancelas/Cambiar_Parking.java  com/plexus/as_cancelas/MainActivity.java  com/plexus/as_cancelas/Contacto.java
Local File I/O Operations,com/plexus/as_cancelas/Parking.java  com/plexus/as_cancelas/Cambiar_Parking.java  com/plexus/as_cancelas/Utilidades.java  com/plexus/as_cancelas/MainActivity.java  com/plexus/as_cancelas/Identificacion.java
Inter Process Communication,com/plexus/as_cancelas/Parking.java  com/plexus/as_cancelas/Cambiar_Parking.java  com/plexus/as_cancelas/GcmIntentService.java  com/plexus/as_cancelas/TarjetaPremiumActivity.java  com/plexus/as_cancelas/Servicios.java  com/plexus/as_cancelas/Encuesta.java  com/plexus/as_cancelas/GcmBroadcastReceiver.java  com/plexus/as_cancelas/MainActivity.java  com/plexus/as_cancelas/CalcularRuta.java  com/plexus/as_cancelas/Identificacion.java  com/plexus/as_cancelas/Contacto.java
Get System Service,com/plexus/as_cancelas/GcmIntentService.java  com/plexus/as_cancelas/TarjetaPremiumActivity.java  com/plexus/as_cancelas/Encuesta.java  com/plexus/as_cancelas/MainActivity.java  com/plexus/as_cancelas/Identificacion.java  com/plexus/as_cancelas/Contacto.java
Android Notifications,com/plexus/as_cancelas/GcmIntentService.java
WebView GET Request,com/plexus/as_cancelas/TarjetaPremiumActivity.java
HTTP Connection,com/plexus/as_cancelas/TareaDascargaImagenesListaNoticias.java
TCP Socket,com/sun/mail/pop3/Protocol.java  com/sun/mail/smtp/SMTPTransport.java  com/sun/mail/util/SocketFetcher.java  com/sun/mail/iap/Protocol.java
Message Digest,com/sun/mail/pop3/Protocol.java  com/sun/mail/smtp/DigestMD5.java
