URL,File
http://www.appmovil.ascancelas.es/es/ws-apps/slide  http://www.appmovil.ascancelas.es/sites/default/files/styles/280x150/public  http://www.appmovil.ascancelas.es/sites/default/files/styles/750x403/public,com/plexus/as_cancelas/TareaCargarImagenInicio.java
http://www.appmovil.ascancelas.es/es/ws-apps/promociones?field_comercio_target_id=  http://www.appmovil.ascancelas.es/sites/default/files  http://www.appmovil.ascancelas.es/gl/ws-apps/promociones?field_comercio_target_id=,com/plexus/as_cancelas/TareacargarPromo.java
http://www.appmovil.ascancelas.es/es/ws-apps/encuestas?nid=  http://www.appmovil.ascancelas.es/gl/ws-apps/encuestas?nid=,com/plexus/as_cancelas/TareaEncuesta.java
http://www.appmovil.ascancelas.es/es/ws-apps/promociones-comercios  http://www.appmovil.ascancelas.es/gl/ws-apps/promociones-comercios,com/plexus/as_cancelas/TareaCargarLPromo.java
http://www.ascancelas.es/es/ws-apps/ultima-encuesta  http://www.ascancelas.es/gl/ws-apps/ultima-encuesta,com/plexus/as_cancelas/TareaIdEncuesta.java
http://www.appmovil.ascancelas.es/es/ws-apps/tarjeta-premium-folleto  http://www.appmovil.ascancelas.es/gl/ws-apps/tarjeta-premium-folleto,com/plexus/as_cancelas/TareaTarjetaPremium.java
https://m.facebook.com/ascancelas?refsrc=http%3a%2f%2fm.facebook.com%2fascancelas&refid=9&_rdr#_=_,com/plexus/as_cancelas/Facebook.java
"http://213.60.255.21:8080/cancelasmovil/index.jsp?idservicioorigen=  https://maps.google.com/maps?t=m&saddr=&daddr=42.887741,-8.525734&hl=es  http://213.60.255.21:8080/cancelasmovil/index.jsp?idserviciodestino=  http://www.enviarcurriculum.es/wp-content/uploads/2012/08/enviar-curriculum-centro-comercial-as-cancelas.jpg",com/plexus/as_cancelas/MainActivity.java
https://twitter.com/ascancelas,com/plexus/as_cancelas/Twitter.java
http://www.youtube.com/user/ascancelascc,com/plexus/as_cancelas/Youtube.java
http://www.appmovil.ascancelas.es/es/ws-apps/calendario-aperturas  http://www.appmovil.ascancelas.es/gl/ws-apps/calendario-aperturas,com/plexus/as_cancelas/TareaCargarCalendario.java
http://213.60.255.21:8080/cancelasmovil/locales.jsp,com/plexus/as_cancelas/TareaCargarListaAlfab.java
http://213.60.255.21:8080/cancelasmovil/localescategoria.jsp,com/plexus/as_cancelas/TareaCargarListaCategorias.java
