ISSUE,SEVERITY,DESCRIPTION
Application Data can be Backed up[android:allowBackup=true],medium,This flag allows anyone to backup your application data via adb. It allows users who have enabled USB debugging to copy application data off of the device.
Launch Mode of Activity (com.gigya.socialize.android.login.providers.WebLoginActivity) is not standard.,high,"An Activity should not be having the launch mode attribute set to ""singleTask/singleInstance"" as it becomes root Activity and it is possible for other applications to read the contents of the calling Intent. So it is required to use the ""standard"" launch mode attribute when sensitive information is included in an Intent."
Activity (com.gigya.socialize.android.login.providers.WebLoginActivity) is not Protected.An intent-filter exists.,high,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. The presence of intent-filter indicates that the Activity is explicitly exported.
"Service (com.google.android.gms.auth.api.signin.RevocationBoundService) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION [android:exported=true]",high,"A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission."
Activity (com.google.android.gms.tagmanager.TagManagerPreviewActivity) is not Protected. [android:exported=true],high,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.
Launch Mode of Activity (com.karumi.dexter.DexterActivity) is not standard.,high,"An Activity should not be having the launch mode attribute set to ""singleTask/singleInstance"" as it becomes root Activity and it is possible for other applications to read the contents of the calling Intent. So it is required to use the ""standard"" launch mode attribute when sensitive information is included in an Intent."
"Broadcast Receiver (com.google.android.gms.gcm.GcmReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",high,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission."
Broadcast Receiver (org.altbeacon.beacon.startup.StartupBroadcastReceiver) is not Protected.An intent-filter exists.,high,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. The presence of intent-filter indicates that the Broadcast Receiver is explicitly exported.
"Broadcast Receiver (com.google.android.gms.measurement.AppMeasurementInstallReferrerReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.INSTALL_PACKAGES [android:exported=true]",high,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission."
"Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",high,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission."
Service (com.google.firebase.iid.FirebaseInstanceIdService) is not Protected. [android:exported=true],high,A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.
